site_id,date,site_orders,site_views,site_units,site_revenue,impressions,clicks,channel_orders,cost,channel_revenue,channel_aov,cr,site_aov,cos
29,3/14/2017,12,1447,52,682.68,38188,609,6,176.31,410.37,68.39500046,0.0099,56.8900,0.4296
7,3/7/2017,0,386,0,0.00,8318,58,0,37.33,0.00,,0.0000,,
10,3/8/2017,263,7986,2146,100071.28,81920,1028,41,1063.32,7791.04,190.025366,0.0399,380.4992,0.1365
20,3/9/2017,10,1053,13,989.46,19217,311,10,101.12,704.09,70.40900078,0.0322,98.9460,0.1436
25,3/16/2017,321,5875,797,15242.45,24281,227,8,341.99,281.35,35.16875011,0.0352,47.4843,1.2155
31,3/14/2017,90,11377,576,9326.03,55660,1059,5,247.36,562.98,112.5959976,0.0047,103.6226,0.4394
45,3/4/2017,3,653,3,756.99,56759,281,3,88.63,756.99,252.3299999,0.0107,252.3300,0.1171
15,2/26/2017,38,2984,235,5263.07,52928,678,10,213.11,608.27,60.82699947,0.0147,138.5018,0.3504
46,2/23/2017,243,19928,3261,56107.19,75408,1071,32,579.61,2828.75,88.39843751,0.0299,230.8938,0.2049
40,2/27/2017,5,484,10,839.99,262,0,0,0,0.00,,,167.9980,
11,2/25/2017,42,3442,55,2738.35,48297,905,25,161.07,2213.90,88.55600037,0.0276,65.1988,0.0728
40,3/11/2017,9,621,25,2083.99,639,2,0,2.6,0.00,,0.0000,231.5544,
6,3/7/2017,1700,223549,6486,158372.72,115080,1647,77,782.34,3218.51,41.79883159,0.0468,93.1604,0.2431
39,3/15/2017,33,1435,153,2014.76,69876,1090,16,141.03,779.97,48.74812484,0.0147,61.0533,0.1808
46,2/25/2017,117,12464,1530,26935.38,31878,441,18,126.91,2733.18,151.8433312,0.0408,230.2169,0.0464
40,3/14/2017,3,435,5,296.00,605,7,0,8.01,0.00,,0.0000,98.6667,
2,2/25/2017,10,686,100,1847.87,19254,129,4,47.95,128.91,32.22749996,0.0310,184.7870,0.3720
16,3/15/2017,172,5386,327,12785.27,10011,93,8,51.54,483.45,60.43124866,0.0860,74.3330,0.1066
45,3/16/2017,1,295,2,17.98,34269,153,0,49.47,0.00,,0.0000,17.9800,
45,2/23/2017,1,339,1,199.99,46909,212,1,87.63,199.99,199.9900055,0.0047,199.9900,0.4382
47,3/4/2017,35,10733,46,3268.94,24355,675,20,42.53,662.98,33.14900036,0.0296,93.3983,0.0641
39,3/4/2017,27,1268,172,1060.96,59339,1090,17,89.14,735.93,43.28999946,0.0156,39.2948,0.1211
19,3/18/2017,5,3528,18,4532.99,89460,1057,2,291.3,2357.60,1178.799988,0.0019,906.5980,0.1236
48,3/6/2017,39,2882,864,5081.71,31175,594,9,355.46,289.61,32.17888853,0.0152,130.3003,1.2274
10,3/10/2017,242,6158,2015,90945.16,73523,1004,23,976.98,2836.92,123.3443479,0.0229,375.8064,0.3444
7,3/4/2017,5,490,17,769.98,8472,53,4,30.88,536.54,134.1350021,0.0755,153.9960,0.0576
34,3/5/2017,23,4125,32,4783.26,35428,539,14,197.54,2050.33,146.4521438,0.0260,207.9678,0.0963
49,3/19/2017,59,1945,219,4790.83,44955,919,50,152.52,2763.15,55.26300032,0.0544,81.2005,0.0552
15,3/17/2017,74,4035,233,10394.27,78946,728,20,257.66,1932.38,96.61900024,0.0275,140.4631,0.1333
48,3/9/2017,41,5850,1349,8960.21,31766,556,2,314.94,204.79,102.3950024,0.0036,218.5417,1.5379
25,3/7/2017,330,6004,955,16690.07,13623,151,7,878.06,188.66,26.95142855,0.0464,50.5760,4.6542
50,3/17/2017,1,718,1,665.83,10046,119,0,53.49,0.00,,0.0000,665.8333,
20,3/14/2017,15,958,20,1436.06,15249,259,7,100.92,667.12,95.30285917,0.0270,95.7373,0.1513
3,3/16/2017,153,2668,1060,6994.67,91287,1516,91,200.62,3047.50,33.48901129,0.0600,45.7168,0.0658
50,3/8/2017,7,920,7,4844.17,33618,316,3,152.44,2362.00,787.3333333,0.0095,692.0238,0.0645
12,2/24/2017,15,2075,19,7372.05,25750,320,2,150.47,249.95,124.9749985,0.0063,491.4700,0.6020
6,3/14/2017,6601,538412,35868,482448.70,195740,2820,138,1314.58,6782.75,49.15036251,0.0489,73.0872,0.1938
28,3/3/2017,0,4716,0,0.00,115185,1336,51,687.26,1698.07,33.29549013,0.0382,,0.4047
40,3/19/2017,5,377,10,728.00,811,16,0,14.11,0.00,,0.0000,145.6000,
48,3/11/2017,13,1524,147,2416.27,13012,260,1,37.67,54.13,54.13000107,0.0038,185.8669,0.6959
39,3/16/2017,32,1309,113,1500.34,68493,1029,20,124.89,805.06,40.25299997,0.0194,46.8856,0.1551
51,3/21/2017,90,827,310,8624.00,16199,144,7,189.02,752.74,107.5342857,0.0486,95.8222,0.2511
47,3/9/2017,59,15728,73,4638.88,22918,630,32,49.69,1793.18,56.03687543,0.0508,78.6251,0.0277
45,3/15/2017,1,407,1,19.99,47739,255,1,88.36,19.99,19.98999977,0.0039,19.9900,4.4202
